,WE2,,
Time,Peak I (A),Baseline (A),Peak V (V)
09:12:49:55:809,2.87027780493117e-10,1.2417189468545228e-10,-0.15214450000099206
09:12:49:57:888,-5.569793946962975e-10,7.09091741371969e-11,-0.17585549971119505
09:12:49:59:967,1.802146878433977e-10,1.5078071519476691e-10,-0.4236394311142647
09:12:50:02:031,-2.0213971273541082e-10,-2.3459226061804516e-10,-0.41000100026613906
09:12:50:04:109,-9.233477349049855e-25,-3.430107303792855e-10,-0.4771840665704079
22:10:18:58:835,6.716463002219297e-07,6.8124277688464e-07,-0.34795757756104895
22:10:19:05:012,6.415527937614908e-07,6.754693301447528e-07,-0.34781610333248514
22:10:19:08:100,6.340130413561507e-07,6.762698688706653e-07,-0.34761496307088297
22:10:19:11:200,6.310507017199158e-07,6.75428425753714e-07,-0.34773573726584794
22:10:19:14:301,6.288658873911645e-07,6.802325296643597e-07,-0.3474919963523479
22:10:19:45:760,7.30861854341124e-07,6.958239941637216e-07,-0.34786279998473135
22:10:19:51:949,6.927321817010612e-07,6.905315366832023e-07,-0.3472420097837008
22:10:19:55:050,6.819591529723898e-07,6.877409364270024e-07,-0.34715395244789604
22:10:19:58:151,6.731569174656896e-07,6.921800610678711e-07,-0.34698796884132543
22:10:20:01:241,6.641239609455895e-07,6.931205233047735e-07,-0.34667001521265983
22:10:20:04:340,6.718988587751492e-07,6.93347369956418e-07,-0.3468072881636288
22:10:20:07:442,6.701414908796188e-07,6.947035472680299e-07,-0.3468415165603389
22:10:20:10:531,6.742492113717582e-07,6.960377235965605e-07,-0.34649942751460416
22:10:20:13:617,6.689106762638601e-07,6.98686330761335e-07,-0.34643221044718775
22:10:20:16:705,6.750757129039325e-07,6.991224318792786e-07,-0.34666781797433854
22:10:21:12:783,7.618803664665338e-07,7.146057784634097e-07,-0.3468283138395751
22:10:21:18:970,7.175678782145229e-07,7.09400904967853e-07,-0.34622881651616744
22:10:21:22:057,7.011121702417331e-07,7.075966889399371e-07,-0.34573512724045913
22:10:21:25:145,6.940242821732758e-07,7.082966629162381e-07,-0.34587966619836885
22:10:21:28:234,6.966119090300791e-07,7.070676732017741e-07,-0.3456760513028905
22:10:21:31:335,6.929585909158668e-07,7.098771223313579e-07,-0.34548024878128925
22:10:21:34:422,6.906061999612209e-07,7.106643991395974e-07,-0.3459480411689294
22:10:21:37:510,6.916474358782702e-07,7.098853544399846e-07,-0.345368977980363
22:10:21:40:600,6.906599412504406e-07,7.127868655795119e-07,-0.345867467641752
22:10:21:43:703,6.86059686920163e-07,7.154561977881819e-07,-0.3457485236123743
22:10:21:46:790,6.867499406375032e-07,7.156064180660087e-07,-0.34579359204297455
22:10:21:49:877,6.857425945432563e-07,7.187344390572837e-07,-0.3456300744089176
22:10:21:52:981,6.859549472110289e-07,7.201628132091757e-07,-0.3454481827168425
22:10:21:56:071,6.864752283498659e-07,7.203437771000564e-07,-0.34557117279694216
22:10:21:59:160,6.866842518989412e-07,7.210528488223077e-07,-0.34542553014955535
22:10:24:51:076,7.257229233164678e-07,4.7556284997962914e-07,-0.3557424269559126
22:10:24:57:266,6.771639836432699e-07,4.695935610578758e-07,-0.35573875049580683
22:10:25:00:368,6.612480063123462e-07,4.6722174547915664e-07,-0.3554013760773931
22:10:25:03:472,6.555990182521338e-07,4.686716894896238e-07,-0.35515526560551114
22:10:25:06:568,6.533529206432513e-07,4.6669916413737027e-07,-0.35487321248153947
22:10:25:09:673,6.662774757346867e-07,4.7361296300681345e-07,-0.354530253990885
22:10:25:12:776,6.589265796672154e-07,4.797153294267874e-07,-0.35475206928794567
22:10:25:15:877,6.587462447973226e-07,4.835523201974104e-07,-0.3541655972504539
22:10:25:18:977,6.602499624279303e-07,4.877449100163523e-07,-0.3542746169781127
22:10:25:22:076,6.592694335008002e-07,4.906072649040724e-07,-0.35411373882817354
22:10:25:25:177,6.619761018994777e-07,4.969171050957239e-07,-0.3546493518101127
22:10:25:28:278,6.634015112803251e-07,4.99917518757447e-07,-0.3540200481986523
22:10:25:31:378,6.771953536165617e-07,5.040195947608678e-07,-0.35395348537307425
22:10:25:34:478,6.688233445308462e-07,5.071610953640102e-07,-0.3539567067253086
22:10:25:37:578,6.670402329020429e-07,5.092545037440411e-07,-0.3538835567435199
22:10:25:40:666,6.706079991010176e-07,5.113795893985305e-07,-0.3537723159031738
22:10:25:43:767,6.708530164606166e-07,5.157930387710462e-07,-0.35381568501777283
22:10:25:46:869,6.753702575189336e-07,5.174313709622441e-07,-0.3534061616793185
22:10:25:49:956,6.767134425592282e-07,5.177345611064943e-07,-0.35317785049920236
22:10:25:53:044,6.797567628554551e-07,5.21467471579279e-07,-0.3530064382688287
22:10:25:56:146,6.888040357311514e-07,5.226351064905287e-07,-0.35302140949586314
22:10:25:59:234,6.974724530141615e-07,5.230569115355227e-07,-0.35301530175485507
22:10:26:02:322,6.881456026726104e-07,5.252784264983743e-07,-0.3527713979273799
22:10:26:05:411,6.899750967533037e-07,5.309249982118418e-07,-0.3528541260714846
22:10:26:08:514,6.984807421944087e-07,5.325652125214628e-07,-0.3525839183238094
