WE2,,
Peak I (A),Baseline (A),Peak V (V)
2.7545378199473416e-07,4.799035070371274e-07,-0.358854380189743
2.4594901479678084e-07,4.7587094983779943e-07,-0.35834357456653354
2.371497394903445e-07,4.753278694223293e-07,-0.3578356830121234
2.3116520722971542e-07,4.774821263603861e-07,-0.3568485216121141
2.3299586872848891e-07,4.779520188788206e-07,-0.357895350787059
2.7545378199473416e-07,4.799035070371274e-07,-0.358854380189743
2.4594901479678084e-07,4.7587094983779943e-07,-0.35834357456653354
2.371497394903445e-07,4.753278694223293e-07,-0.3578356830121234
2.3116520722971542e-07,4.774821263603861e-07,-0.3568485216121141
2.3299586872848891e-07,4.779520188788206e-07,-0.357895350787059
2.7545378199473416e-07,4.799035070371274e-07,-0.358854380189743
2.4594901479678084e-07,4.7587094983779943e-07,-0.35834357456653354
2.371497394903445e-07,4.753278694223293e-07,-0.3578356830121234
2.3116520722971542e-07,4.774821263603861e-07,-0.3568485216121141
2.3299586872848891e-07,4.779520188788206e-07,-0.357895350787059
2.7379142198826324e-07,5.643939225811452e-07,-0.3491933986354213
2.5126534196806447e-07,5.62838273272737e-07,-0.3477319884775711
2.42669355176527e-07,5.641039473468652e-07,-0.34728724067265265
2.394447485600958e-07,5.640745672978897e-07,-0.34704471289297323
2.3481917624039926e-07,5.650383821269795e-07,-0.34683153354479623
2.7379142198826324e-07,5.643939225811452e-07,-0.3491933986354213
2.5126534196806447e-07,5.62838273272737e-07,-0.3477319884775711
2.42669355176527e-07,5.641039473468652e-07,-0.34728724067265265
2.394447485600958e-07,5.640745672978897e-07,-0.34704471289297323
2.3481917624039926e-07,5.650383821269795e-07,-0.34683153354479623
3.572011425954856e-07,5.986424376101402e-07,-0.34170237912621926
3.323887625542029e-07,5.967608237925175e-07,-0.34090146058684223
3.218493040519644e-07,5.963731551974512e-07,-0.34029065889548016
3.1668510831297783e-07,5.983458263279751e-07,-0.340203371049029
3.1693316469084596e-07,5.992318549660839e-07,-0.33924040525928856
2.2396786710928703e-07,3.2339316913903955e-07,-0.25757007824402445
1.9152651147464494e-07,3.330896214882055e-07,-0.25014395513381793
1.8746717769723054e-07,3.412188674108928e-07,-0.24757521907596075
1.8608406302783893e-07,3.4818616516070466e-07,-0.2420042782069091
1.8302180477574908e-07,3.554103455347541e-07,-0.23246727971047387
2.5558385760261003e-07,2.829161078502595e-07,-0.2850859951083185
2.224410223282287e-07,2.8938399195585475e-07,-0.27768579290971673
2.1023716799490473e-07,2.9773429667147237e-07,-0.2722770368350309
2.0371898361169508e-07,3.046115392285151e-07,-0.26827013799817545
2.0164682768251796e-07,3.096785511300913e-07,-0.26397923545145263
